act0,CPUE,biomass,month,action,cluster,act1
-0.9247246840666095,-0.987400501222127,-0.6553091880417381,8,act0,0,
,-0.985756370806867,-0.778625266583691,8,act1,0,-0.2892080125484806
,-0.9905441443315196,-0.6033082545958026,8,act1,1,0.3263780422391759
,-0.9665803909927008,-0.8362341106861313,8,act1,2,-0.1532711360567881
-0.9631387560095694,-0.9737231665050256,-0.7826432750608359,9,act0,0,
0.9522582491716407,-0.8543547934789157,-0.8516311171460843,9,act0,1,
,-0.9719166041875249,-0.805267719002781,9,act1,0,-0.24615597353762794
,-0.8549964974029851,-0.8515558340820896,9,act1,1,0.9607073584179245
,-0.9753525918936983,-0.7642878644302992,9,act1,2,0.06462541193270653
-0.9639517631672134,-0.9723291035277483,-0.74127754873807,10,act0,0,
0.07749145227220833,-0.8658632375391497,-0.7975276672706936,10,act0,1,
,-0.9735474449971878,-0.7292384026996627,10,act1,0,-0.18920931559483134
,-0.8658632375391497,-0.7975276672706936,10,act1,1,0.6829779632885893
,-0.9702680082540438,-0.7616444389914367,10,act1,2,-0.33450912266412935
-0.9640276,-0.9740293174967852,-0.7018985554836406,4,act0,0,
,-0.9735457665533334,-0.7162180226133333,4,act1,0,-0.06178588415183995
,-0.9602309447815727,-0.7449355429864972,4,act1,1,0.3210555798705326
,-0.9782975905306603,-0.6840535630400943,4,act1,2,-0.23834724666273602
-0.9640276,-0.9862500424198718,-0.6736149076295406,5,act0,0,
,-0.9846171182730497,-0.689829336464539,5,act1,0,0.07401226243707291
,-0.9965874950305499,-0.7848285682077393,5,act1,1,-0.7581524090386961
,-0.986137319619344,-0.649595133471391,5,act1,2,-0.11569941109121384
-0.9640276,-0.9891777513987414,-0.6208469298054919,6,act0,0,
,-0.9882322569672131,-0.6383495031680329,6,act1,0,0.7486719340200838
,-0.9968794954969574,-0.7301654631643002,6,act1,1,0.11408640963381353
,-0.9888106773835921,-0.5970478867036215,6,act1,2,0.03570700739432997
-0.9640276,-0.9918317040949385,-0.5469316134658279,7,act0,0,
,-0.9914713165371685,-0.561138783231229,7,act1,0,-0.3832331319088531
,-0.997106053046875,-0.6635850449609375,7,act1,1,-0.7195795200585939
,-0.99137553874113,-0.5212393268988174,7,act1,2,-0.2278844634917265
