t,crabs,months,act0,act1,rew,rep,crab_pop,nonlocal_crab
99,[-0.98512   -0.6297414],5,-0.9640276,-0.039311547,-10.361356913064037,0,"[2.66324208e-23 1.19112980e-16 3.35912635e-11 6.11417077e-07
 7.69549282e-04 9.13647451e-02 2.44386124e+00 2.73798200e+01
 1.56636314e+02 4.97658000e+02 9.30602990e+02 1.05677389e+03
 7.62078421e+02 4.31748886e+02 2.91430652e+02 2.06946028e+02
 1.11163403e+02 4.05635484e+01 8.54780816e+00 6.55049009e-01
 7.28414038e-03 6.49423816e-06]","[83432.83229841 39020.52460858 68148.91164827  6186.33694837
  5829.5612337   7522.26977089  5380.99467021  6167.5301505
  5842.15633475 59349.82724109 58559.29034625  5835.90632932
  6573.24591003  5834.37623372]"
99,[-0.9854924  -0.65627265],5,-0.9640276,-0.039311547,-11.37101900535424,1,"[8.58831273e-19 7.02262821e-13 3.95000313e-08 1.57761390e-04
 4.90518472e-02 1.68260851e+00 1.59557913e+01 9.02420500e+01
 3.04792547e+02 6.47923734e+02 9.02268412e+02 8.30027130e+02
 5.27196292e+02 3.28266247e+02 2.69238390e+02 2.08121530e+02
 1.19791185e+02 4.80003454e+01 1.32991988e+01 2.62481894e+00
 1.72392470e-01 1.39218517e-03]","[83432.83229841 39020.52460858 68148.91164827  6186.33694837
  5829.5612337   7522.26977089  5380.99467021  6167.5301505
  5842.15633475 59349.82724109 58559.29034625  5835.90632932
  6573.24591003  5834.37623372 59735.90715953  4252.29598112
 47758.08067711 58867.27934518  3908.25708602  6099.8314421
  5829.90983244  4885.31556672 70902.55236438  5209.21487916
 51547.88994635 58596.7581041   5587.52748291  5934.76694201]"
99,[-0.9878564 -0.6782104],5,-0.9640276,-0.039311547,-6.506404843052553,2,"[6.23065037e-19 4.95971876e-13 2.62478069e-08 9.58351130e-05
 2.74056898e-02 1.00782161e+00 1.17648556e+01 6.94315684e+01
 2.33295096e+02 4.97218361e+02 6.93451217e+02 6.48363017e+02
 4.07285842e+02 2.06258841e+02 1.24908017e+02 8.05388992e+01
 4.34721135e+01 1.89636299e+01 5.76331787e+00 8.41244508e-01
 3.79399110e-02 2.44149365e-04]","[83432.83229841 39020.52460858 68148.91164827  6186.33694837
  5829.5612337   7522.26977089  5380.99467021  6167.5301505
  5842.15633475 59349.82724109 58559.29034625  5835.90632932
  6573.24591003  5834.37623372 59735.90715953  4252.29598112
 47758.08067711 58867.27934518  3908.25708602  6099.8314421
  5829.90983244  4885.31556672 70902.55236438  5209.21487916
 51547.88994635 58596.7581041   5587.52748291  5934.76694201
 60778.28137027  6101.55611202  6678.66223562  5927.92657644
  6604.77104068  6424.91455803  5293.56722561  6411.60035859
  6842.24967826 71645.35945001  5682.44268137  4195.42927149
  6953.84421686  4288.03908745]"
99,[-0.9850552 -0.6311234],5,-0.9640276,-0.039311547,-7.674079569585395,3,"[2.02379436e-25 1.29482909e-17 2.57566872e-11 1.63701920e-06
 3.56423412e-03 3.74882560e-01 7.01797309e+00 5.46299698e+01
 2.55300852e+02 7.00049442e+02 1.09782201e+03 1.01554782e+03
 6.06633917e+02 3.30903913e+02 2.63488308e+02 2.15109489e+02
 1.22852504e+02 4.64900366e+01 1.17723427e+01 2.04056653e+00
 1.27293646e-01 6.22786493e-04]","[83432.83229841 39020.52460858 68148.91164827  6186.33694837
  5829.5612337   7522.26977089  5380.99467021  6167.5301505
  5842.15633475 59349.82724109 58559.29034625  5835.90632932
  6573.24591003  5834.37623372 59735.90715953  4252.29598112
 47758.08067711 58867.27934518  3908.25708602  6099.8314421
  5829.90983244  4885.31556672 70902.55236438  5209.21487916
 51547.88994635 58596.7581041   5587.52748291  5934.76694201
 60778.28137027  6101.55611202  6678.66223562  5927.92657644
  6604.77104068  6424.91455803  5293.56722561  6411.60035859
  6842.24967826 71645.35945001  5682.44268137  4195.42927149
  6953.84421686  4288.03908745  6060.41270524  6251.88393173
  6375.54624668  5135.33574723  5909.77388526  5035.70311123
  6072.46532689 55717.53376771  5382.83828699  5856.7516244
  5485.03372325  5855.29991835  5806.41366978  5506.08482246]"
99,[-0.98466665 -0.6395613 ],5,-0.9640276,-0.039311547,-7.449138801239333,4,"[1.12555120e-36 9.27760511e-27 1.93309881e-18 1.03253521e-11
 1.45151560e-06 5.72951287e-03 8.68938525e-01 1.90959081e+01
 1.43153783e+02 5.17306394e+02 1.01950338e+03 1.08578861e+03
 6.59938156e+02 3.15358229e+02 2.34071349e+02 1.86278237e+02
 9.88931591e+01 3.12087531e+01 5.80326977e+00 3.73203209e-01
 1.73441990e-03 2.61742670e-07]","[83432.83229841 39020.52460858 68148.91164827  6186.33694837
  5829.5612337   7522.26977089  5380.99467021  6167.5301505
  5842.15633475 59349.82724109 58559.29034625  5835.90632932
  6573.24591003  5834.37623372 59735.90715953  4252.29598112
 47758.08067711 58867.27934518  3908.25708602  6099.8314421
  5829.90983244  4885.31556672 70902.55236438  5209.21487916
 51547.88994635 58596.7581041   5587.52748291  5934.76694201
 60778.28137027  6101.55611202  6678.66223562  5927.92657644
  6604.77104068  6424.91455803  5293.56722561  6411.60035859
  6842.24967826 71645.35945001  5682.44268137  4195.42927149
  6953.84421686  4288.03908745  6060.41270524  6251.88393173
  6375.54624668  5135.33574723  5909.77388526  5035.70311123
  6072.46532689 55717.53376771  5382.83828699  5856.7516244
  5485.03372325  5855.29991835  5806.41366978  5506.08482246
  5338.22262689  6999.27781238 51050.15178468  4692.62988027
  6340.82423296  5177.17866968  5106.67188414  6089.27814792
  5097.90377237 59404.07236131 58067.47002403  6213.06837102
  6079.43704809 53461.12679273]"
99,[-0.9851686  -0.63338363],5,-0.9640276,-0.039311547,-9.459675883829451,5,"[3.10668059e-36 3.33129949e-26 7.79157543e-18 4.03702942e-11
 4.77276589e-06 1.38191639e-02 1.32633810e+00 1.71437534e+01
 1.20096846e+02 4.32232470e+02 8.38910673e+02 9.16500307e+02
 5.61812852e+02 2.62580678e+02 1.75362797e+02 1.27055552e+02
 5.61720487e+01 1.53033538e+01 2.62378641e+00 1.63478148e-01
 7.16571083e-04 8.90171810e-08]","[83432.83229841 39020.52460858 68148.91164827  6186.33694837
  5829.5612337   7522.26977089  5380.99467021  6167.5301505
  5842.15633475 59349.82724109 58559.29034625  5835.90632932
  6573.24591003  5834.37623372 59735.90715953  4252.29598112
 47758.08067711 58867.27934518  3908.25708602  6099.8314421
  5829.90983244  4885.31556672 70902.55236438  5209.21487916
 51547.88994635 58596.7581041   5587.52748291  5934.76694201
 60778.28137027  6101.55611202  6678.66223562  5927.92657644
  6604.77104068  6424.91455803  5293.56722561  6411.60035859
  6842.24967826 71645.35945001  5682.44268137  4195.42927149
  6953.84421686  4288.03908745  6060.41270524  6251.88393173
  6375.54624668  5135.33574723  5909.77388526  5035.70311123
  6072.46532689 55717.53376771  5382.83828699  5856.7516244
  5485.03372325  5855.29991835  5806.41366978  5506.08482246
  5338.22262689  6999.27781238 51050.15178468  4692.62988027
  6340.82423296  5177.17866968  5106.67188414  6089.27814792
  5097.90377237 59404.07236131 58067.47002403  6213.06837102
  6079.43704809 53461.12679273  5313.63654563  5151.73798442
  5220.23163972  5544.82498438 66908.82926525 56444.23401712
  6318.24182387  5613.88445248  6540.64097978  4736.39424538
 71568.4185527  52638.18979221  4930.4864355   5918.59951607]"
99,[-0.9837866  -0.65575546],5,-0.9640276,-0.039311547,-7.230406798954546,6,"[3.52765055e-32 7.47597985e-23 3.43367573e-15 3.48826669e-09
 8.19520491e-05 5.33502864e-02 2.77496325e+00 3.63007647e+01
 1.67864877e+02 4.19713577e+02 6.95719864e+02 8.62338958e+02
 7.14470701e+02 3.64014870e+02 1.52171725e+02 7.33965899e+01
 3.44916860e+01 1.02519392e+01 1.44363973e+00 6.51391429e-02
 2.19377169e-04 2.08266020e-08]","[83432.83229841 39020.52460858 68148.91164827  6186.33694837
  5829.5612337   7522.26977089  5380.99467021  6167.5301505
  5842.15633475 59349.82724109 58559.29034625  5835.90632932
  6573.24591003  5834.37623372 59735.90715953  4252.29598112
 47758.08067711 58867.27934518  3908.25708602  6099.8314421
  5829.90983244  4885.31556672 70902.55236438  5209.21487916
 51547.88994635 58596.7581041   5587.52748291  5934.76694201
 60778.28137027  6101.55611202  6678.66223562  5927.92657644
  6604.77104068  6424.91455803  5293.56722561  6411.60035859
  6842.24967826 71645.35945001  5682.44268137  4195.42927149
  6953.84421686  4288.03908745  6060.41270524  6251.88393173
  6375.54624668  5135.33574723  5909.77388526  5035.70311123
  6072.46532689 55717.53376771  5382.83828699  5856.7516244
  5485.03372325  5855.29991835  5806.41366978  5506.08482246
  5338.22262689  6999.27781238 51050.15178468  4692.62988027
  6340.82423296  5177.17866968  5106.67188414  6089.27814792
  5097.90377237 59404.07236131 58067.47002403  6213.06837102
  6079.43704809 53461.12679273  5313.63654563  5151.73798442
  5220.23163972  5544.82498438 66908.82926525 56444.23401712
  6318.24182387  5613.88445248  6540.64097978  4736.39424538
 71568.4185527  52638.18979221  4930.4864355   5918.59951607
  7625.88138877  6221.65978172  6096.04211497  5888.68726407
  8256.81759299  4669.756007    6137.62135228  5524.04956205
  6544.5754987  61021.60839282 54954.09069934  6869.76433526
 69740.92477932  5985.74046526]"
99,[-0.98693347 -0.61736673],5,-0.9640276,-0.039311547,-6.559420261355318,7,"[4.23824508e-22 8.35012271e-16 1.32601402e-10 1.72968381e-06
 1.93506762e-03 2.12924097e-01 3.65685301e+00 2.27511832e+01
 8.74958964e+01 2.38429334e+02 5.08903711e+02 8.13299948e+02
 8.43093894e+02 5.61516283e+02 2.82618447e+02 1.40742447e+02
 6.86319242e+01 2.49264760e+01 6.54664297e+00 1.00212305e+00
 5.49824855e-02 5.41172533e-04]","[83432.83229841 39020.52460858 68148.91164827  6186.33694837
  5829.5612337   7522.26977089  5380.99467021  6167.5301505
  5842.15633475 59349.82724109 58559.29034625  5835.90632932
  6573.24591003  5834.37623372 59735.90715953  4252.29598112
 47758.08067711 58867.27934518  3908.25708602  6099.8314421
  5829.90983244  4885.31556672 70902.55236438  5209.21487916
 51547.88994635 58596.7581041   5587.52748291  5934.76694201
 60778.28137027  6101.55611202  6678.66223562  5927.92657644
  6604.77104068  6424.91455803  5293.56722561  6411.60035859
  6842.24967826 71645.35945001  5682.44268137  4195.42927149
  6953.84421686  4288.03908745  6060.41270524  6251.88393173
  6375.54624668  5135.33574723  5909.77388526  5035.70311123
  6072.46532689 55717.53376771  5382.83828699  5856.7516244
  5485.03372325  5855.29991835  5806.41366978  5506.08482246
  5338.22262689  6999.27781238 51050.15178468  4692.62988027
  6340.82423296  5177.17866968  5106.67188414  6089.27814792
  5097.90377237 59404.07236131 58067.47002403  6213.06837102
  6079.43704809 53461.12679273  5313.63654563  5151.73798442
  5220.23163972  5544.82498438 66908.82926525 56444.23401712
  6318.24182387  5613.88445248  6540.64097978  4736.39424538
 71568.4185527  52638.18979221  4930.4864355   5918.59951607
  7625.88138877  6221.65978172  6096.04211497  5888.68726407
  8256.81759299  4669.756007    6137.62135228  5524.04956205
  6544.5754987  61021.60839282 54954.09069934  6869.76433526
 69740.92477932  5985.74046526  4777.89619077  8227.3824327
  6262.27843802  6319.2684627   5416.42174038  5154.62413942
  7400.79290298  5649.80240738  6305.60464274  5914.22073059
  6841.03841254 67937.50590085 58072.17208258  5490.97082135]"
99,[-0.98650926 -0.68277276],5,-0.9640276,-0.039311547,-6.359341194029454,8,"[6.69847451e-25 7.10511284e-18 4.93706820e-12 2.28577188e-07
 7.32743628e-04 1.85252562e-01 5.98189732e+00 5.36517330e+01
 2.05542731e+02 4.72679190e+02 7.19016225e+02 6.95520043e+02
 4.24248855e+02 1.97717857e+02 1.20594508e+02 8.56541872e+01
 4.31934505e+01 1.57831187e+01 4.40134745e+00 7.00399652e-01
 3.44537721e-02 2.18786835e-04]","[83432.83229841 39020.52460858 68148.91164827  6186.33694837
  5829.5612337   7522.26977089  5380.99467021  6167.5301505
  5842.15633475 59349.82724109 58559.29034625  5835.90632932
  6573.24591003  5834.37623372 59735.90715953  4252.29598112
 47758.08067711 58867.27934518  3908.25708602  6099.8314421
  5829.90983244  4885.31556672 70902.55236438  5209.21487916
 51547.88994635 58596.7581041   5587.52748291  5934.76694201
 60778.28137027  6101.55611202  6678.66223562  5927.92657644
  6604.77104068  6424.91455803  5293.56722561  6411.60035859
  6842.24967826 71645.35945001  5682.44268137  4195.42927149
  6953.84421686  4288.03908745  6060.41270524  6251.88393173
  6375.54624668  5135.33574723  5909.77388526  5035.70311123
  6072.46532689 55717.53376771  5382.83828699  5856.7516244
  5485.03372325  5855.29991835  5806.41366978  5506.08482246
  5338.22262689  6999.27781238 51050.15178468  4692.62988027
  6340.82423296  5177.17866968  5106.67188414  6089.27814792
  5097.90377237 59404.07236131 58067.47002403  6213.06837102
  6079.43704809 53461.12679273  5313.63654563  5151.73798442
  5220.23163972  5544.82498438 66908.82926525 56444.23401712
  6318.24182387  5613.88445248  6540.64097978  4736.39424538
 71568.4185527  52638.18979221  4930.4864355   5918.59951607
  7625.88138877  6221.65978172  6096.04211497  5888.68726407
  8256.81759299  4669.756007    6137.62135228  5524.04956205
  6544.5754987  61021.60839282 54954.09069934  6869.76433526
 69740.92477932  5985.74046526  4777.89619077  8227.3824327
  6262.27843802  6319.2684627   5416.42174038  5154.62413942
  7400.79290298  5649.80240738  6305.60464274  5914.22073059
  6841.03841254 67937.50590085 58072.17208258  5490.97082135
 66278.07980652  5884.9021667   6363.7649586   7267.98654129
  4759.42623557 65792.46582954  5009.19010183  7260.35844305
  4936.73947341  7022.24322889  6705.08263319  6285.76895195
  7177.72782034  5952.2347558 ]"
99,[-0.9907061  -0.62842655],5,-0.9640276,-0.039311547,-5.397925667940182,9,"[2.30006190e-20 8.28124202e-15 3.49169998e-10 1.76294373e-06
 1.13708658e-03 1.15656955e-01 2.89193268e+00 2.52695402e+01
 1.02880308e+02 2.62855101e+02 4.48316986e+02 5.07617711e+02
 4.00751167e+02 2.47951667e+02 1.50672134e+02 1.02017647e+02
 6.54660746e+01 3.28641039e+01 1.08564945e+01 2.04223630e+00
 1.44818480e-01 2.10879606e-03]","[83432.83229841 39020.52460858 68148.91164827  6186.33694837
  5829.5612337   7522.26977089  5380.99467021  6167.5301505
  5842.15633475 59349.82724109 58559.29034625  5835.90632932
  6573.24591003  5834.37623372 59735.90715953  4252.29598112
 47758.08067711 58867.27934518  3908.25708602  6099.8314421
  5829.90983244  4885.31556672 70902.55236438  5209.21487916
 51547.88994635 58596.7581041   5587.52748291  5934.76694201
 60778.28137027  6101.55611202  6678.66223562  5927.92657644
  6604.77104068  6424.91455803  5293.56722561  6411.60035859
  6842.24967826 71645.35945001  5682.44268137  4195.42927149
  6953.84421686  4288.03908745  6060.41270524  6251.88393173
  6375.54624668  5135.33574723  5909.77388526  5035.70311123
  6072.46532689 55717.53376771  5382.83828699  5856.7516244
  5485.03372325  5855.29991835  5806.41366978  5506.08482246
  5338.22262689  6999.27781238 51050.15178468  4692.62988027
  6340.82423296  5177.17866968  5106.67188414  6089.27814792
  5097.90377237 59404.07236131 58067.47002403  6213.06837102
  6079.43704809 53461.12679273  5313.63654563  5151.73798442
  5220.23163972  5544.82498438 66908.82926525 56444.23401712
  6318.24182387  5613.88445248  6540.64097978  4736.39424538
 71568.4185527  52638.18979221  4930.4864355   5918.59951607
  7625.88138877  6221.65978172  6096.04211497  5888.68726407
  8256.81759299  4669.756007    6137.62135228  5524.04956205
  6544.5754987  61021.60839282 54954.09069934  6869.76433526
 69740.92477932  5985.74046526  4777.89619077  8227.3824327
  6262.27843802  6319.2684627   5416.42174038  5154.62413942
  7400.79290298  5649.80240738  6305.60464274  5914.22073059
  6841.03841254 67937.50590085 58072.17208258  5490.97082135
 66278.07980652  5884.9021667   6363.7649586   7267.98654129
  4759.42623557 65792.46582954  5009.19010183  7260.35844305
  4936.73947341  7022.24322889  6705.08263319  6285.76895195
  7177.72782034  5952.2347558   6540.65126351 61852.58435185
  6554.70989518  5925.9862616   6416.33289919  5842.30813162
  7444.28907277  5978.13937064  6404.02485868  6673.15689669
  7151.93124101  6976.5636799   4637.88398449  5996.88936378]"
